# DOW
MMM,3M
AXP,American express
AAPL,Apple
BA,Boeing
CAT,Caterpillar
CVX,Chevron
CSCO,Cisco
KO,Coca-Cola
DIS,Disney
DWDP,DowDuPont Inc
XOM,Exxon Mobil
GS,Goldman Sachs
HD,Home Depot
IBM,IBM
INTC,Intel
JNJ,Johnson & Johnson
JPM,JPMorgan Chase
MCD,McDonald's
MRK,Merck
MSFT,Microsoft
NKE,Nike
PFE,Pfizer
PG,Procter & Gamble
TRV,Travelers Companies Inc
UTX,United Technologies
UNH,UnitedHealth
VZ,Verizon
V,Visa
WMT,Walmart
WBA,Walgreen
# NASDAQ
SIRI,Sirius XM
CSCO,Cisco Systems
CMCSA,Comcast
AMRN,Amarin
HBAN,Huntington Bancshares
AMAT,Applied Materials
QCOM,Qualcomm
NVDA,Nvidia
NFLX,Netflix
SBUX,Starbucks
CTRP,Ctrip
MRVL,Marvell
ATVI,Activision Blizzard
FITB,Fifth Third Bancorp
AMZN,Amazon.com
SHLD,Sears
SYMC,Symantec
MYL,Mylan
EBAY,Ebay
JBLU,Jetblue Airways
ENDP,Endo Pharmaceuticals
FLEX,Flextronics
PBCT,Peoples Bank
BBBY,Bed Bath & Beyond
GILD,Gilead Sciences
MCHP,Microchip
FAST,Fastenal
GPRO,Gen Probe
CTSH,Cognizant
ADBE,Adobe
STX,Seagate
CELG,Celgene
NVAX,Novavax
GERN,Geron
